NA_L3CODE,FIRE_COUNT,BURNED_AREA,FIRE_SIZE_MEAN,WF_FSR_MEAN,WF_DURATION_MEAN,STR_THREAT_TOTAL,EVAC_TOTAL,STR_DAMAGE_TOTAL,STR_DESTR_TOTAL,STR_DESTR_RES,FATALITIES_P,FATALITIES_R,NUM_SITREPS_TOTAL,PROJ_IM_COSTS,TOTAL_PERSONNEL,TOTAL_AERIAL,SUP_FS_PERC_MEAN
9.3.1,111,293372.5,2642.9954954954956,2081.514731208234,3.0636363636363635,821,180,76,132,17,0,0,301,8547547,7912.53268406,110,57.88288288288288
9.3.3,883,4126986.125,4673.823471121178,2825.76400989041,1.9408418657565416,16450,800,370,946,231,0,0,3305,229089506.34,209401.631082684,2186.5,59.00455413731597
9.3.4,25,281493,11259.72,7455.387878776,2.44,613,0,2,39,19,0,0,76,4708641,5654.93333333,51,83.2
9.4.1,514,2406904.4,4682.693385214008,3495.8882629323152,1.3859649122807018,10254,1698,172,588,201,0,1,1254,31771784.25,38184.166666697,339,74.30825767402723
9.4.2,695,1813157.56,2608.859798561151,1662.196032801505,2.270893371757925,20576,950,458,838,386,4,3,1947,38406641,56518.121031663,779.5,78.30935251798562
9.4.3,592,5851714.9,9884.653547297297,6204.213141017703,1.5363790186125212,27683,5481,726,1535,972,3,0,1998,55549728.62,62665.47619081,889,74.1638860227196
9.4.4,177,318205.8,1797.7728813559322,1390.7998614061582,1.7102272727272727,473,0,23,25,3,0,0,310,2045681,5551.83333333,33,80.41431261768362
9.4.5,1195,1678904.66,1404.9411380753138,868.6782817917021,-0.40218303946263645,38472.5,2592,610,2460,1502,3,0,3531,24889911.72,64662.885714337,1131,67.76867901973222
9.4.6,322,1331641.1,4135.531366459627,2329.8716423328074,-0.9099378881987578,6220,400,53,258,135,0,0,1401,7306103,25758.78535367,726.5,73.24755989350932
9.4.7,51,17958,352.11764705882354,304.7549019607843,0.5686274509803921,1242,0,7,52,16,0,0,140,111201,1777.97619048,36,39.21568627450981
9.5.1,282,575361.8,2040.2900709219857,1345.7023584411206,1.9110320284697508,2004,0,7,53,14,0,0,907,4463882,8347.283333337,361,51.223404255319146
9.6.1,75,165529.7,2207.0626666666667,1725.856,0.68,1049,150,1,116,51,0,0,201,210610,1931.6,31,68.66666666666667
NA,166,537187,3236.0662650602408,759.5006545408193,4.296296296296297,10823,1070,106,165,118,2,1,1143,545529636.29,354807.09806297,4157.011905,41.62001889337349
