,CPLX_INCIDENT_ID,NUM_FOD_RECORDS,FIRE_YEAR,INCIDENT_NUMBER,COMPLEX_NAME,ICS_COMPLEX_NAME_LINK,FIRE_NAME_LINK,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,MEMBER_INCIDENT_ID,INCIDENT_ID
66,2014_647372_LOGGING UNIT FIRES,,2014,,,LOGGING UNIT FIRES,NORTH PINHEAD,646224.0,647372.0,2014_646224_NORTH PINHEAD,2014_646224_NORTH PINHEAD
18,2014_638842_CARLTON COMPLEX,,2014,,,CARLTON COMPLEX,COUGAR FLATS,646323.0,638842.0,2014_646323_COUGAR FLATS,2014_646323_COUGAR FLATS
19,2014_638842_CARLTON COMPLEX,,2014,,,CARLTON COMPLEX,FRENCH CREEK,646324.0,638842.0,2014_646324_FRENCH CREEK,2014_646324_FRENCH CREEK
86,2014_671366_OCHOCO COMPLEX,,2014,,,OCHOCO COMPLEX,OSCAR CANYON,646607.0,671366.0,2014_646607_OSCAR CANYON,2014_646607_OSCAR CANYON
20,2014_638842_CARLTON COMPLEX,,2014,,,CARLTON COMPLEX,GOLDEN HIKE,646652.0,638842.0,2014_646652_GOLDEN HIKE,2014_646652_GOLDEN HIKE
24,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,KELLY MOUNTAIN,646751.0,645401.0,2014_646751_KELLY MOUNTAIN,2014_646751_KELLY MOUNTAIN
67,2014_647372_LOGGING UNIT FIRES,,2014,,,LOGGING UNIT FIRES,LOGGING UNIT FIRES,647372.0,647372.0,2014_647372_LOGGING UNIT FIRES,2014_647372_LOGGING UNIT FIRES
68,2014_647372_LOGGING UNIT FIRES,,2014,,,LOGGING UNIT FIRES,HALEY,648456.0,647372.0,2014_648456_HALEY,2014_648456_HALEY
82,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,,2014,,,MOUNT BAKER RANGER DISTRICT COMPLEX,QUARTZ CREEK,648611.0,665864.0,2014_648611_QUARTZ CREEK,2014_648611_QUARTZ CREEK
25,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,DUNCAN DIP,653425.0,645401.0,2014_653425_DUNCAN DIP,2014_653425_DUNCAN DIP
87,2014_671366_OCHOCO COMPLEX,,2014,,,OCHOCO COMPLEX,FOX,657240.0,671366.0,2014_657240_FOX,2014_657240_FOX
123,2014_683068_SITGREAVES COMPLEX,,2014,,,SITGREAVES COMPLEX,SITGREAVES,662546.0,683068.0,2014_662546_SITGREAVES,2014_662546_SITGREAVES
83,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,,2014,,,MOUNT BAKER RANGER DISTRICT COMPLEX,MOUNT BAKER RANGER DISTRICT COMPLEX,665864.0,665864.0,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX
117,2014_677341_SIMPSON COMPLEX,,2014,,,SIMPSON COMPLEX,LUCKY,669841.0,677341.0,2014_669841_LUCKY,2014_669841_LUCKY
88,2014_671366_OCHOCO COMPLEX,,2014,,,OCHOCO COMPLEX,OCHOCO COMPLEX,671366.0,671366.0,2014_671366_OCHOCO COMPLEX,2014_671366_OCHOCO COMPLEX
118,2014_677341_SIMPSON COMPLEX,,2014,,,SIMPSON COMPLEX,SIMPSON COMPLEX,677341.0,677341.0,2014_677341_SIMPSON COMPLEX,2014_677341_SIMPSON COMPLEX
119,2014_677341_SIMPSON COMPLEX,,2014,,,SIMPSON COMPLEX,SHEEP,677955.0,677341.0,2014_677955_SHEEP,2014_677955_SHEEP
120,2014_677341_SIMPSON COMPLEX,,2014,,,SIMPSON COMPLEX,LION PEAK,678586.0,677341.0,2014_678586_LION PEAK,2014_678586_LION PEAK
121,2014_677341_SIMPSON COMPLEX,,2014,,,SIMPSON COMPLEX,FLATS,678902.0,677341.0,2014_678902_FLATS,2014_678902_FLATS
124,2014_683068_SITGREAVES COMPLEX,,2014,,,SITGREAVES COMPLEX,SITGREAVES COMPLEX,683068.0,683068.0,2014_683068_SITGREAVES COMPLEX,2014_683068_SITGREAVES COMPLEX
92,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,LITTLE CASTLE,683532.0,714872.0,2014_683532_LITTLE CASTLE,2014_683532_LITTLE CASTLE
57,2014_687974_KITTEN COMPLEX,,2014,,,KITTEN COMPLEX,STEMLER,684213.0,687974.0,2014_684213_STEMLER,2014_684213_STEMLER
58,2014_687974_KITTEN COMPLEX,,2014,,,KITTEN COMPLEX,KITTEN CANYON,685450.0,687974.0,2014_685450_KITTEN CANYON,2014_685450_KITTEN CANYON
59,2014_687974_KITTEN COMPLEX,,2014,,,KITTEN COMPLEX,BROGAN HILL,686059.0,687974.0,2014_686059_BROGAN HILL,2014_686059_BROGAN HILL
60,2014_687974_KITTEN COMPLEX,,2014,,,KITTEN COMPLEX,KITTEN COMPLEX,687974.0,687974.0,2014_687974_KITTEN COMPLEX,2014_687974_KITTEN COMPLEX
61,2014_687974_KITTEN COMPLEX,,2014,,,KITTEN COMPLEX,JUNIPER,689218.0,687974.0,2014_689218_JUNIPER,2014_689218_JUNIPER
93,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,PUMICE FLAT,714872.0,714872.0,2014_714872_PUMICE FLAT,2014_714872_PUMICE FLAT
47,2014_732239_HAYSTACK COMPLEX (7 FIRES),,2014,,,HAYSTACK COMPLEX (7 FIRES),INC 258,725434.0,732239.0,2014_725434_INC 258,2014_725434_INC 258
48,2014_732239_HAYSTACK COMPLEX (7 FIRES),,2014,,,HAYSTACK COMPLEX (7 FIRES),HAYSTACK,725910.0,732239.0,2014_725910_HAYSTACK,2014_725910_HAYSTACK
49,2014_732239_HAYSTACK COMPLEX (7 FIRES),,2014,,,HAYSTACK COMPLEX (7 FIRES),STEET MT,726393.0,732239.0,2014_726393_STEET MT,2014_726393_STEET MT
70,2014_733009_MCRAE COMPLEX,,2014,,,MCRAE COMPLEX,HAMMER,726589.0,733009.0,2014_726589_HAMMER,2014_726589_HAMMER
52,2014_744756_JULY COMPLEX,,2014,,,JULY COMPLEX,KNF LEEF,726847.0,744756.0,2014_726847_KNF LEEF,2014_726847_KNF LEEF
44,2014_727924_HAY CREEK COMPLEX,,2014,,,HAY CREEK COMPLEX,HAY CREEK COMPLEX,727924.0,727924.0,2014_727924_HAY CREEK COMPLEX,2014_727924_HAY CREEK COMPLEX
94,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,AM,731450.0,714872.0,2014_731450_AM,2014_731450_AM
95,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,357 FIRE,731471.0,714872.0,2014_731471_357 FIRE,2014_731471_357 FIRE
62,2014_731475_LODGE COMPLEX,,2014,,,LODGE COMPLEX,LODGE COMPLEX,731475.0,731475.0,2014_731475_LODGE COMPLEX,2014_731475_LODGE COMPLEX
6,2014_738768_BEAVER COMPLEX,,2014,,,BEAVER COMPLEX,BEAVER,732202.0,738768.0,2014_732202_BEAVER,2014_732202_BEAVER
50,2014_732239_HAYSTACK COMPLEX (7 FIRES),,2014,,,HAYSTACK COMPLEX (7 FIRES),HAYSTACK COMPLEX (7 FIRES),732239.0,732239.0,2014_732239_HAYSTACK COMPLEX (7 FIRES),2014_732239_HAYSTACK COMPLEX (7 FIRES)
53,2014_744756_JULY COMPLEX,,2014,,,JULY COMPLEX,LOG,732812.0,744756.0,2014_732812_LOG,2014_732812_LOG
96,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,WILLIAMS CRATER,732973.0,714872.0,2014_732973_WILLIAMS CRATER,2014_732973_WILLIAMS CRATER
54,2014_744756_JULY COMPLEX,,2014,,,JULY COMPLEX,WHITE,732976.0,744756.0,2014_732976_WHITE,2014_732976_WHITE
97,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,COPELAND CREEK,733006.0,714872.0,2014_733006_COPELAND CREEK,2014_733006_COPELAND CREEK
71,2014_733009_MCRAE COMPLEX,,2014,,,MCRAE COMPLEX,MCRAE COMPLEX,733009.0,733009.0,2014_733009_MCRAE COMPLEX,2014_733009_MCRAE COMPLEX
98,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,BALD CRATER,733142.0,714872.0,2014_733142_BALD CRATER,2014_733142_BALD CRATER
29,2014_742981_COFFEE COMPLEX,,2014,,,COFFEE COMPLEX,COFFEE,733393.0,742981.0,2014_733393_COFFEE,2014_733393_COFFEE
99,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,WHITE HORSE,733509.0,714872.0,2014_733509_WHITE HORSE,2014_733509_WHITE HORSE
100,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,CRATER PEAK,733562.0,714872.0,2014_733562_CRATER PEAK,2014_733562_CRATER PEAK
101,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,CRATER PEAK EAST,733567.0,714872.0,2014_733567_CRATER PEAK EAST,2014_733567_CRATER PEAK EAST
131,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,STALEY COMPLEX,736449.0,736449.0,2014_736449_STALEY COMPLEX,2014_736449_STALEY COMPLEX
45,2014_727924_HAY CREEK COMPLEX,,2014,,,HAY CREEK COMPLEX,HAY CREEK 1,737069.0,727924.0,2014_737069_HAY CREEK 1,2014_737069_HAY CREEK 1
46,2014_727924_HAY CREEK COMPLEX,,2014,,,HAY CREEK COMPLEX,HAY CREEK 2,737140.0,727924.0,2014_737140_HAY CREEK 2,2014_737140_HAY CREEK 2
8,2014_738768_BEAVER COMPLEX,,2014,,,BEAVER COMPLEX,BEAVER COMPLEX,738768.0,738768.0,2014_738768_BEAVER COMPLEX,2014_738768_BEAVER COMPLEX
125,2014_750301_SOUTH FORK COMPLEX,,2014,,,SOUTH FORK COMPLEX,0649 MURDERERS SOUTH,739396.0,750301.0,2014_739396_0649 MURDERERS SOUTH,2014_739396_0649 MURDERERS SOUTH
51,2014_732239_HAYSTACK COMPLEX (7 FIRES),,2014,,,HAYSTACK COMPLEX (7 FIRES),SCHOOLHOUSE,739398.0,732239.0,2014_739398_SCHOOLHOUSE,2014_739398_SCHOOLHOUSE
126,2014_750301_SOUTH FORK COMPLEX,,2014,,,SOUTH FORK COMPLEX,0654  BUCK FORK,741250.0,750301.0,2014_741250_0654  BUCK FORK,2014_741250_0654  BUCK FORK
132,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,WIF 195,741583.0,736449.0,2014_741583_WIF 195,2014_741583_WIF 195
21,2014_638842_CARLTON COMPLEX,,2014,,,CARLTON COMPLEX,RISING EAGLE ROAD,741618.0,638842.0,2014_741618_RISING EAGLE ROAD,2014_741618_RISING EAGLE ROAD
30,2014_742981_COFFEE COMPLEX,,2014,,,COFFEE COMPLEX,COFFEE COMPLEX,742981.0,742981.0,2014_742981_COFFEE COMPLEX,2014_742981_COFFEE COMPLEX
7,2014_738768_BEAVER COMPLEX,,2014,,,BEAVER COMPLEX,OREGON GULCH,743008.0,738768.0,2014_743008_OREGON GULCH,2014_743008_OREGON GULCH
89,2014_901986_OLD MAN COMPLEX,,2014,,,OLD MAN COMPLEX,MACARONI,743542.0,901986.0,2014_743542_MACARONI,2014_743542_MACARONI
55,2014_744756_JULY COMPLEX,,2014,,,JULY COMPLEX,JULY COMPLEX,744756.0,744756.0,2014_744756_JULY COMPLEX,2014_744756_JULY COMPLEX
139,2014_751126_THOMPSON RIVER COMPLEX,,2014,,,THOMPSON RIVER COMPLEX,SPRUCE 2,745406.0,751126.0,2014_745406_SPRUCE 2,2014_745406_SPRUCE 2
102,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,SLOPE,746507.0,714872.0,2014_746507_SLOPE,2014_746507_SLOPE
103,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,ARNICA,746856.0,714872.0,2014_746856_ARNICA,2014_746856_ARNICA
16,2014_747605_CAMP CREEK COMPLEX,,2014,,,CAMP CREEK COMPLEX,CAMP CREEK COMPLEX,747605.0,747605.0,2014_747605_CAMP CREEK COMPLEX,2014_747605_CAMP CREEK COMPLEX
127,2014_750301_SOUTH FORK COMPLEX,,2014,,,SOUTH FORK COMPLEX,SOUTH FORK COMPLEX,750301.0,750301.0,2014_750301_SOUTH FORK COMPLEX,2014_750301_SOUTH FORK COMPLEX
145,2014_751272_UPPER MICA COMPLEX,,2014,,,UPPER MICA COMPLEX,MIDNITE MICA,750841.0,751272.0,2014_750841_MIDNITE MICA,2014_750841_MIDNITE MICA
33,2014_768941_DEVILS ELBOW COMPLEX,,2014,,,DEVILS ELBOW COMPLEX,TIMM BROTHERS,751066.0,768941.0,2014_751066_TIMM BROTHERS,2014_751066_TIMM BROTHERS
140,2014_751126_THOMPSON RIVER COMPLEX,,2014,,,THOMPSON RIVER COMPLEX,THOMPSON RIVER COMPLEX,751126.0,751126.0,2014_751126_THOMPSON RIVER COMPLEX,2014_751126_THOMPSON RIVER COMPLEX
141,2014_751126_THOMPSON RIVER COMPLEX,,2014,,,THOMPSON RIVER COMPLEX,KOOKOOSINT # 1,751229.0,751126.0,2014_751229_KOOKOOSINT # 1,2014_751229_KOOKOOSINT # 1
142,2014_751126_THOMPSON RIVER COMPLEX,,2014,,,THOMPSON RIVER COMPLEX,KOOKOOSINT # 2,751238.0,751126.0,2014_751238_KOOKOOSINT # 2,2014_751238_KOOKOOSINT # 2
143,2014_751126_THOMPSON RIVER COMPLEX,,2014,,,THOMPSON RIVER COMPLEX,SPRUCE CREEK,751239.0,751126.0,2014_751239_SPRUCE CREEK,2014_751239_SPRUCE CREEK
133,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,202,751257.0,736449.0,2014_751257_202,2014_751257_202
146,2014_751272_UPPER MICA COMPLEX,,2014,,,UPPER MICA COMPLEX,UPPER MICA COMPLEX,751272.0,751272.0,2014_751272_UPPER MICA COMPLEX,2014_751272_UPPER MICA COMPLEX
104,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,ANNIE,752105.0,714872.0,2014_752105_ANNIE,2014_752105_ANNIE
105,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,ROCK,752128.0,714872.0,2014_752128_ROCK,2014_752128_ROCK
106,2014_714872_PUMICE FLAT,,2014,,,PUMICE FLAT,PARK BOUNDRY,752131.0,714872.0,2014_752131_PARK BOUNDRY,2014_752131_PARK BOUNDRY
34,2014_768941_DEVILS ELBOW COMPLEX,,2014,,,DEVILS ELBOW COMPLEX,CENTRAL PEAK,752737.0,768941.0,2014_752737_CENTRAL PEAK,2014_752737_CENTRAL PEAK
35,2014_768941_DEVILS ELBOW COMPLEX,,2014,,,DEVILS ELBOW COMPLEX,CUB CREEK,752778.0,768941.0,2014_752778_CUB CREEK,2014_752778_CUB CREEK
36,2014_768941_DEVILS ELBOW COMPLEX,,2014,,,DEVILS ELBOW COMPLEX,DEADHORSE,754101.0,768941.0,2014_754101_DEADHORSE,2014_754101_DEADHORSE
147,2014_751272_UPPER MICA COMPLEX,,2014,,,UPPER MICA COMPLEX,COD ONE,756632.0,751272.0,2014_756632_COD ONE,2014_756632_COD ONE
27,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,SHOOFLY,763472.0,645401.0,2014_763472_SHOOFLY,2014_763472_SHOOFLY
84,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,,2014,,,MOUNT BAKER RANGER DISTRICT COMPLEX,SEFRIT NORTH,763849.0,665864.0,2014_763849_SEFRIT NORTH,2014_763849_SEFRIT NORTH
85,2014_665864_MOUNT BAKER RANGER DISTRICT COMPLEX,,2014,,,MOUNT BAKER RANGER DISTRICT COMPLEX,SEFRIT EAST,763851.0,665864.0,2014_763851_SEFRIT EAST,2014_763851_SEFRIT EAST
148,2014_751272_UPPER MICA COMPLEX,,2014,,,UPPER MICA COMPLEX,COD TWO,765838.0,751272.0,2014_765838_COD TWO,2014_765838_COD TWO
28,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,ALPINE,768276.0,645401.0,2014_768276_ALPINE,2014_768276_ALPINE
37,2014_768941_DEVILS ELBOW COMPLEX,,2014,,,DEVILS ELBOW COMPLEX,DEVILS ELBOW COMPLEX,768941.0,768941.0,2014_768941_DEVILS ELBOW COMPLEX,2014_768941_DEVILS ELBOW COMPLEX
26,2014_645401_CHIWAUKUM COMPLEX,,2014,,,CHIWAUKUM COMPLEX,HANSEL CREEK,780175.0,645401.0,2014_780175_HANSEL CREEK,2014_780175_HANSEL CREEK
149,2014_751272_UPPER MICA COMPLEX,,2014,,,UPPER MICA COMPLEX,ENGSTROM,794111.0,751272.0,2014_794111_ENGSTROM,2014_794111_ENGSTROM
110,2014_916738_SELWAY COMPLEX,,2014,,,SELWAY COMPLEX,ELEVATOR MOUNTAIN,800846.0,916738.0,2014_800846_ELEVATOR MOUNTAIN,2014_800846_ELEVATOR MOUNTAIN
134,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,241 MF,802296.0,736449.0,2014_802296_241 MF,2014_802296_241 MF
111,2014_916738_SELWAY COMPLEX,,2014,,,SELWAY COMPLEX,VANCE,803156.0,916738.0,2014_803156_VANCE,2014_803156_VANCE
112,2014_916738_SELWAY COMPLEX,,2014,,,SELWAY COMPLEX,JERUSALEM,808974.0,916738.0,2014_808974_JERUSALEM,2014_808974_JERUSALEM
113,2014_916738_SELWAY COMPLEX,,2014,,,SELWAY COMPLEX,EAGLE CREEK,808990.0,916738.0,2014_808990_EAGLE CREEK,2014_808990_EAGLE CREEK
31,2014_865852_DECEPTION COMPLEX,,2014,,,DECEPTION COMPLEX,DECEPTION CREEK,808991.0,865852.0,2014_808991_DECEPTION CREEK,2014_808991_DECEPTION CREEK
144,2014_751126_THOMPSON RIVER COMPLEX,,2014,,,THOMPSON RIVER COMPLEX,MARMOT PEAK,809217.0,751126.0,2014_809217_MARMOT PEAK,2014_809217_MARMOT PEAK
135,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,283 MF,809471.0,736449.0,2014_809471_283 MF,2014_809471_283 MF
136,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,POOL CREEK,809472.0,736449.0,2014_809472_POOL CREEK,2014_809472_POOL CREEK
39,2014_809568_HAPPY CAMP COMPLEX,,2014,,,HAPPY CAMP COMPLEX,HAPPY CAMP COMPLEX,809568.0,809568.0,2014_809568_HAPPY CAMP COMPLEX,2014_809568_HAPPY CAMP COMPLEX
137,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,265 MF,810996.0,736449.0,2014_810996_265 MF,2014_810996_265 MF
138,2014_736449_STALEY COMPLEX,,2014,,,STALEY COMPLEX,293 MF,814619.0,736449.0,2014_814619_293 MF,2014_814619_293 MF
56,2014_744756_JULY COMPLEX,,2014,,,JULY COMPLEX,MAN,816154.0,744756.0,2014_816154_MAN,2014_816154_MAN
40,2014_809568_HAPPY CAMP COMPLEX,,2014,,,HAPPY CAMP COMPLEX,DELTA,818745.0,809568.0,2014_818745_DELTA,2014_818745_DELTA
