FIRE_YEAR,ICS_COMPLEX_NAME,FIRE_NAME,MEMBER_INC_IDENTIFIER,CPLX_INC_IDENTIFIER,CPLX_INCIDENT_ID,MEMBER_INCIDENT_ID,FOD_JOIN_INCIDENT_ID,,,,,,,,,,,,,,,,
1999,BAY CREEK COMPLEX,BAY CREEK #4,,,1999_FL-FNF-99031_BAY CREEK COMPLEX,1999_FL-FNF-99031_BAY CREEK COMPLEX,1999_FL-FNF-99031_BAY CREEK COMPLEX,,,,,,,,,,,,,,,,
1999,APALACHICOLA COMPLEX,OWL CREEK,,,1999_FL-FNF-99012_APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,1999_FL-FNF-99012_APALACHICOLA COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MILL CREEK 3,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MORELAND-A,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MORELAND-B,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MORELAND-C,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MORELAND-D,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MORELAND-E,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MORELAND-F,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,TUCKER3,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MILL CREEK 4,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,MILL CREEK 2,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,ZONE ABC #1,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,ZONE ABC #2,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,ZONE ABC #3,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,ZONE ABC #4,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,ZONE ABC #5,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
1999,BANKHEAD COMPLEX,4-WHEELER,,,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,1999_AL-ALF-99013_BANKHEAD COMPLEX,,,,,,,,,,,,,,,,
