OID_,STUSPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,BUPR_YEAR
1,ID,1,2968898.000000000000000,216432664200.000000000000000,0,267,267,0.046770552575399,0.970857042020934,138857.000000000000000,93,0,72,0,0,2005
2,NM,2,4319410.000000000000000,314884989000.000000000000000,0,242,242,0.023636561474831,0.682126869731314,102096.000000000000000,96,0,66,0,0,2005
3,CA,3,5808871.000000000000000,423466695900.000000000000000,0,7134,7134,0.219546793172037,5.540349939508142,1275319.000000000000000,213,0,112,0,0,2005
4,OR,4,3494360.000000000000000,254738844000.000000000000000,0,313,313,0.083574960793965,1.197073541198371,292041.000000000000000,117,0,77,0,0,2005
5,WA,5,2531472.000000000000000,184544308800.000000000000000,0,786,786,0.205682701606023,1.989556375208939,520680.000000000000000,146,0,87,0,0,2005
6,UT,6,3016251.000000000000000,219884697900.000000000000000,0,365,365,0.037628168212793,1.009992073979959,113496.000000000000000,112,0,63,0,0,2005
7,CO,7,3697811.000000000000000,269570421900.000000000000000,0,438,438,0.106133060883854,1.730777388705676,392460.000000000000000,183,0,87,0,0,2005
8,WY,8,3474816.000000000000000,253314086400.000000000000000,0,296,296,0.016304172652595,0.487459431958944,56654.000000000000000,76,0,56,0,0,2005
9,NV,9,3928389.000000000000000,286379558100.000000000000000,0,416,416,0.020556518206318,0.826001609559266,80754.000000000000000,125,0,61,0,0,2005
10,MT,10,5222748.000000000000000,380738329200.000000000000000,0,422,422,0.049634598491061,1.097394417225835,259229.000000000000000,90,0,1,0,0,2005
11,AZ,11,4049369.000000000000000,295199000100.000000000000000,0,1038,1038,0.097865371123252,1.804278578121857,396293.000000000000000,159,0,91,0,0,2005
