OID_,STUSPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,BUPR_YEAR
1,ID,1,2968898.000000000000000,216432664200.000000000000000,0,292,292,0.057249188082581,1.129706159365271,169967.000000000000000,100,0,74,0,0,2015
2,NM,2,4319410.000000000000000,314884989000.000000000000000,0,242,242,0.028470555006355,0.791638091975539,122976.000000000000000,104,0,74,0,0,2015
3,CA,3,5808871.000000000000000,423466695900.000000000000000,0,7134,7134,0.244961198139882,5.644434702750474,1422948.000000000000000,228,0,142,0,0,2015
4,OR,4,3494360.000000000000000,254738844000.000000000000000,0,314,314,0.092707391339185,1.315700072044889,323953.000000000000000,131,0,80,0,0,2015
5,WA,5,2531472.000000000000000,184544308800.000000000000000,0,815,815,0.237518329256677,2.239750291001080,601271.000000000000000,155,0,98,0,0,2015
6,UT,6,3016251.000000000000000,219884697900.000000000000000,0,369,369,0.050996419064595,1.244223957506839,153818.000000000000000,127,0,68,0,0,2015
7,CO,7,3697811.000000000000000,269570421900.000000000000000,0,443,443,0.125417442914198,1.935724139707459,463770.000000000000000,183,0,98,0,0,2015
8,WY,8,3474816.000000000000000,253314086400.000000000000000,0,299,299,0.020016599440086,0.567678361930038,69554.000000000000000,85,0,62,0,0,2015
9,NV,9,3928389.000000000000000,286379558100.000000000000000,0,595,595,0.031330400324408,1.239382030434744,123078.000000000000000,159,0,83,0,0,2015
10,MT,10,5222748.000000000000000,380738329200.000000000000000,0,456,456,0.058549828557687,1.258553895037493,305791.000000000000000,100,0,1,0,0,2015
11,AZ,11,4049369.000000000000000,295199000100.000000000000000,0,1072,1072,0.124129957037754,2.086058496760820,502648.000000000000000,168,0,101,0,0,2015
