OID_,STUSPS,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT90,BUPR_YEAR
1,ID,1,2968898.000000000000000,216432664200.000000000000000,0,243,243,0.036958831189214,0.803100971583856,109727.000000000000000,85,0,63,0,0,2000
2,NM,2,4319410.000000000000000,314884989000.000000000000000,0,241,241,0.019692041274155,0.596279904268085,85058.000000000000000,91,0,65,0,0,2000
3,CA,3,5808871.000000000000000,423466695900.000000000000000,0,7134,7134,0.194066282415303,4.936044837393287,1127306.000000000000000,210,0,121,0,0,2000
4,OR,4,3494360.000000000000000,254738844000.000000000000000,0,313,313,0.074155782460881,1.079460335775685,259127.000000000000000,111,0,71,0,0,2000
5,WA,5,2531472.000000000000000,184544308800.000000000000000,0,740,740,0.179922985519881,1.811263979091450,455470.000000000000000,141,0,81,0,0,2000
6,UT,6,3016251.000000000000000,219884697900.000000000000000,0,364,364,0.029619219355417,0.851894575220270,89339.000000000000000,99,0,63,0,0,2000
7,CO,7,3697811.000000000000000,269570421900.000000000000000,0,429,429,0.088237338252279,1.564854093360016,326285.000000000000000,170,0,85,0,0,2000
8,WY,8,3474816.000000000000000,253314086400.000000000000000,0,290,290,0.014156720816296,0.449934560151040,49192.000000000000000,72,0,56,0,0,2000
9,NV,9,3928389.000000000000000,286379558100.000000000000000,0,224,224,0.014134038151517,0.598984131411022,55524.000000000000000,100,0,64,0,0,2000
10,MT,10,5222748.000000000000000,380738329200.000000000000000,0,390,390,0.042969333385413,1.005457029425715,224418.000000000000000,88,0,114,0,0,2000
11,AZ,11,4049369.000000000000000,295199000100.000000000000000,0,1021,1021,0.071289378666157,1.530211065204449,288677.000000000000000,153,0,87,0,0,2000
