,id,bupr_sum,bupr_sum,bupr_sum1km,bupr_sum4km
137,21365.0,0.0,0.0,1.0,6.0
138,21381.0,0.0,0.0,0.0,0.0
139,21537.0,0.0,0.0,0.0,0.0
140,22097.0,0.0,0.0,0.0,0.0
141,22154.0,0.0,0.0,2.0,19.0
142,23546.0,10.0,10.0,29.0,288.0
143,23577.0,0.0,0.0,0.0,17.0
144,23617.0,0.0,0.0,0.0,9.0
145,285.0,29.0,29.0,277.0,2691.0
146,967.0,0.0,0.0,0.0,2.0
147,1332.0,0.0,0.0,0.0,0.0
148,1498.0,0.0,0.0,0.0,0.0
149,1541.0,0.0,0.0,0.0,18.0
150,1601.0,0.0,0.0,0.0,0.0
151,1612.0,0.0,0.0,0.0,7.0
152,1620.0,0.0,0.0,1.0,2.0
153,1621.0,0.0,0.0,0.0,1.0
154,1649.0,0.0,0.0,0.0,4.0
155,1709.0,0.0,0.0,0.0,0.0
156,1778.0,0.0,0.0,0.0,5.0
157,1799.0,0.0,0.0,0.0,0.0
158,1800.0,0.0,0.0,0.0,0.0
159,1809.0,2.0,2.0,338.0,3279.0
160,1829.0,0.0,0.0,0.0,0.0
161,1838.0,0.0,0.0,6.0,45.0
162,1851.0,0.0,0.0,0.0,0.0
163,1865.0,0.0,0.0,44.0,2831.0
164,1876.0,0.0,0.0,0.0,0.0
165,1887.0,0.0,0.0,0.0,9.0
166,1910.0,0.0,0.0,0.0,0.0
167,1918.0,0.0,0.0,0.0,0.0
168,1922.0,0.0,0.0,0.0,0.0
169,1923.0,0.0,0.0,0.0,0.0
170,1947.0,0.0,0.0,0.0,0.0
171,1949.0,0.0,0.0,0.0,8.0
172,1974.0,0.0,0.0,0.0,0.0
173,1992.0,0.0,0.0,0.0,12.0
174,1994.0,0.0,0.0,0.0,0.0
175,1997.0,0.0,0.0,0.0,0.0
176,2000.0,0.0,0.0,0.0,0.0
177,2003.0,0.0,0.0,0.0,8.0
178,2008.0,0.0,0.0,0.0,0.0
179,2011.0,0.0,0.0,12.0,288.0
180,2012.0,0.0,0.0,0.0,0.0
181,2013.0,0.0,0.0,0.0,123.0
182,2018.0,0.0,0.0,0.0,0.0
183,2021.0,0.0,0.0,0.0,0.0
184,2023.0,0.0,0.0,0.0,0.0
185,2031.0,0.0,0.0,0.0,0.0
186,2033.0,0.0,0.0,0.0,0.0
187,2034.0,0.0,0.0,0.0,0.0
188,2035.0,0.0,0.0,0.0,477.0
189,2038.0,0.0,0.0,0.0,0.0
190,2039.0,0.0,0.0,0.0,0.0
191,2041.0,3.0,3.0,32.0,66.0
192,2043.0,0.0,0.0,0.0,0.0
193,2049.0,0.0,0.0,0.0,0.0
194,2052.0,0.0,0.0,0.0,2.0
195,2055.0,0.0,0.0,0.0,0.0
196,2072.0,0.0,0.0,0.0,1020.0
197,2074.0,0.0,0.0,0.0,0.0
198,2083.0,0.0,0.0,0.0,0.0
199,2084.0,0.0,0.0,0.0,0.0
200,2089.0,1.0,1.0,3.0,4.0
201,2092.0,0.0,0.0,0.0,0.0
202,2096.0,0.0,0.0,0.0,18.0
203,2101.0,0.0,0.0,0.0,0.0
204,2102.0,0.0,0.0,0.0,4.0
205,2105.0,0.0,0.0,0.0,0.0
206,2106.0,0.0,0.0,0.0,0.0
207,2109.0,0.0,0.0,0.0,0.0
208,2113.0,0.0,0.0,0.0,0.0
209,2114.0,0.0,0.0,0.0,0.0
210,2116.0,23.0,23.0,211.0,1303.0
211,2117.0,0.0,0.0,20.0,708.0
212,2126.0,0.0,0.0,4.0,38.0
213,2134.0,0.0,0.0,1.0,9.0
214,2135.0,0.0,0.0,0.0,0.0
215,2136.0,0.0,0.0,0.0,0.0
216,2143.0,0.0,0.0,0.0,0.0
217,2159.0,0.0,0.0,100.0,2870.0
218,2160.0,0.0,0.0,0.0,914.0
219,2164.0,0.0,0.0,0.0,0.0
220,2171.0,0.0,0.0,0.0,3.0
221,2172.0,0.0,0.0,0.0,0.0
222,2185.0,0.0,0.0,0.0,0.0
223,2187.0,0.0,0.0,0.0,0.0
224,2194.0,0.0,0.0,0.0,51.0
225,2197.0,0.0,0.0,0.0,0.0
226,2200.0,0.0,0.0,4.0,12.0
227,2218.0,0.0,0.0,0.0,0.0
228,2219.0,0.0,0.0,205.0,718.0
229,2229.0,0.0,0.0,0.0,11.0
230,2249.0,0.0,0.0,0.0,0.0
231,2250.0,1.0,1.0,93.0,359.0
232,2251.0,0.0,0.0,0.0,0.0
233,2257.0,0.0,0.0,0.0,0.0
234,2260.0,0.0,0.0,0.0,0.0
235,2265.0,0.0,0.0,0.0,0.0
236,2280.0,1.0,1.0,41.0,661.0
237,2291.0,17.0,17.0,118.0,196.0
238,2292.0,0.0,0.0,0.0,1.0
239,2299.0,0.0,0.0,0.0,1.0
240,2303.0,0.0,0.0,0.0,0.0
241,2307.0,0.0,0.0,0.0,0.0
242,2315.0,0.0,0.0,0.0,0.0
243,2321.0,0.0,0.0,3.0,8.0
244,2327.0,4.0,4.0,23.0,135.0
245,2331.0,0.0,0.0,0.0,4.0
246,2332.0,0.0,0.0,0.0,1.0
247,2334.0,0.0,0.0,4.0,44.0
248,2338.0,0.0,0.0,0.0,0.0
249,2344.0,0.0,0.0,0.0,0.0
250,2352.0,0.0,0.0,0.0,0.0
251,2358.0,0.0,0.0,0.0,2.0
252,2363.0,0.0,0.0,0.0,4.0
253,2365.0,0.0,0.0,0.0,0.0
254,2368.0,0.0,0.0,0.0,0.0
255,2383.0,0.0,0.0,0.0,0.0
256,2385.0,0.0,0.0,0.0,0.0
257,2392.0,0.0,0.0,0.0,23.0
258,2401.0,0.0,0.0,0.0,104.0
259,2402.0,0.0,0.0,0.0,0.0
260,2403.0,0.0,0.0,0.0,0.0
261,2407.0,0.0,0.0,0.0,0.0
262,2415.0,14.0,14.0,24.0,88.0
263,2418.0,0.0,0.0,0.0,3.0
264,2419.0,0.0,0.0,0.0,0.0
265,2421.0,0.0,0.0,0.0,0.0
266,2432.0,1.0,1.0,1.0,1.0
267,2442.0,2.0,2.0,3.0,5.0
268,2443.0,0.0,0.0,14.0,47.0
269,2451.0,0.0,0.0,0.0,5.0
270,2452.0,0.0,0.0,0.0,0.0
271,2453.0,0.0,0.0,0.0,0.0
