OID_,GACCABBREV,Burnable_Km2,Unburnable_Km2,Total_Px_Area,GACCName
1,GBCC,602412.065999999991618,91888.700400000001537,694300.766399999964051,Great Basin Coordination Center
2,ONCC,139719.119399999995949,25755.278399999999237,165474.397800000006100,Northern California Geographic Area Coordination Center
3,NRCC,386203.933799999998882,53977.274099999995087,440181.207899999979418,Northern Rockies Coordination Center
4,NWCC,375994.215900000010151,66004.826399999990826,441999.042300000030082,Northwest Interagency Coordination Center
5,RMCC,445364.543699999980163,52030.187999999994645,497394.731700000003912,Rocky Mountain Area Coordination Center
6,OSCC,171747.588599999988219,88370.619299999991199,260118.207899999979418,Southern California Geographic Area Coordination Center
7,SWCC,552710.887199999997392,47484.289799999998650,600195.177000000025146,Southwest Coordination Center
