NA_L1CODE,BUPR2000,BUPR2005,BUPR2010,BUPR2015
10,646106,842769,1002748,1086766
11,925110,1049298,1121880,1173876
12,26056,31628,36159,37626
13,82319,101100,111678,114778
6,600875,691568,757142,787392
7,517646,585607,637684,663080
9,270379,324152,359238,394337
