FIRED_ID,FIRED_IG_LON,FIRED_IG_LAT
292,-116.76365106881066,32.777083330363716
312,-80.93084715596167,27.077083330873872
323,-81.82414662828926,27.972916664127027
348,-81.08042374025275,27.147916664200867
360,-81.50070880050225,27.127083330869397
364,-81.71058044228859,28.356249997426055
366,-80.39632903824706,26.714583330906322
375,-81.20701954518162,27.602083330826886
414,-81.51224753107367,26.043749997633036
423,-80.71641830908406,27.714583330816815
434,-82.03412880950458,27.2604166641908
450,-84.07594925123891,30.481249997235864
451,-81.47737865369943,26.752083330902963
454,-86.75835500104213,30.73958333054607
467,-81.29580391715433,28.11041666411472
481,-80.29323081129492,27.11458333087052
486,-81.26731716402554,28.977083330703817
487,-82.26436426768277,28.768749997389133
490,-81.74686870296132,28.20624999743948
504,-81.95015795734435,27.552083330831362
508,-80.61483169287192,25.239583331038343
511,-81.23095993603741,27.564583330830242
527,-81.11694974461508,28.322916664095697
546,-81.95008775543886,29.897916663954735
547,-80.80340284546507,27.660416664154997
559,-80.79809831286924,28.1895833307743
560,-80.75888611036223,27.847916664138214
588,-98.08839505165837,26.139583330957784
592,-81.49292945168719,26.34791666427247
613,-95.37216132502228,34.522916663540784
616,-95.05939202532088,35.68958333010303
626,-92.42015022568556,36.69374999667981
690,-94.26202320239929,35.63124999677492
691,-81.23566012177074,27.564583330830242
703,-80.86813935276076,27.627083330824654
709,-81.19395496770102,27.856249997470805
720,-87.30710851724473,34.36458333022162
773,-96.14708660719502,36.27708333005044
832,-91.15295419273933,37.04791666331479
853,-91.22855401783332,36.902083329994504
911,-96.14705019607977,36.28124999671674
925,-84.91635463056825,30.21874999725936
945,-80.78152498675203,26.281249997611773
957,-80.85983197963502,28.339583330760874
972,-104.74198371919073,37.402083329949754
1023,-80.59126915720533,25.577083331008133
1040,-80.42806953999646,26.818749997563664
1052,-81.66967623960011,28.210416664105775
1137,-80.51716653115258,25.252083331037216
1175,-80.67669407411242,27.902083330800032
1205,-81.04954627288298,26.956249997551357
1246,-82.25380886709132,27.177083330864924
1271,-81.0492763849089,27.56041666416395
1281,-81.25539653051024,27.07291666420758
1301,-80.47895487822595,33.772916663607916
1302,-87.44785360757307,30.868749997201178
1315,-82.12529393635415,27.760416664146046
1326,-81.45054487358294,26.247916664281433
1330,-83.04907007151085,29.431249997329843
1333,-82.18196425465584,26.977083330882827
1344,-82.1263844015733,27.035416664210942
1363,-80.86757475520302,26.364583330937645
1386,-122.22406348469133,39.63541666308319
1389,-82.11476158078372,29.435416663996136
1415,-81.46662248507663,26.1979166642859
1437,-86.86196988462488,30.531249997231388
1525,-81.24769733950818,27.068749997541282
1587,-107.98516580259863,33.43124999697182
1601,-84.55185286337917,30.277083330587462
1620,-85.4070522011757,34.19374999690358
1621,-80.72397589812016,26.76874999756814
1625,-109.49125972821675,45.82291666252939
1668,-80.57150460588915,25.52708333101261
1681,-120.1335588829702,39.5687499964225
1706,-110.41769582098355,32.08958333042524
1723,-81.63206071982489,28.389583330756402
1724,-85.64662996778597,30.535416663897674
1728,-81.52488307826356,33.085416663669434
1730,-86.77457947908384,30.46041666390439
1742,-119.5406467641773,38.88124999648403
1746,-83.02911883917605,29.860416663958095
